Service Description,Service Code,Setting,Standard Charge,Insurance,Plan Name,Negotiated Amount,Comments,Hospital Name,Hospital ID,Postal Code,City,State,Latitude,Longitude
2D ECHO,93306,OUTPATIENT,1123.57,,,,"Only standard charge and no price with insurance – meaning this service is provided by the hospital directly, and not through any insurance.",Regional Medical Center,hospital4,19102,Philadelphia,PA,39.9507,-75.1628
TRILOCK GRIDPL,C1713,BOTH,433.94,Amerihealth,Amerihealth Commercial,392.61,"This service costs $433.94 as standard price when patient does not have any insurance.
Same service costs $392.61 if patient has 'Amerihealth Commercial' insurance plan.",Regional Medical Center,hospital4,19102,Philadelphia,PA,39.9507,-75.1628
TRILOCK GRIDPL,C1713,BOTH,433.94,Amerihealth,Amerihealth Medicare,231.57,"This service costs $433.94 as standard price when patient does not have any insurance.
Same service costs $231.57 if patient has 'Amerihealth Medicare' insurance plan.",Regional Medical Center,hospital4,19102,Philadelphia,PA,39.9507,-75.1628
TRILOCK GRIDPL,C1713,BOTH,433.94,Amerihealth,Amerihealth Medicaid HC,347.48,"This service costs $433.94 as standard price when patient does not have any insurance.
Same service costs $347.48 if patient has 'Amerihealth Medicaid HC' insurance plan.",Regional Medical Center,hospital4,19102,Philadelphia,PA,39.9507,-75.1628
TRILOCK GRIDPL,C1713,BOTH,433.94,,,,Standard charge with no insurance.,Regional Medical Center,hospital4,19102,Philadelphia,PA,39.9507,-75.1628
TRILOCK GRIDPL,C1713,BOTH,433.94,United Healthcare,United Healthcare CHIP,277.89,"This service costs $433.94 as standard price when patient does not have any insurance.
Same service costs $277.89 if patient has 'United Healthcare CHIP' insurance plan.",Regional Medical Center,hospital4,19102,Philadelphia,PA,39.9507,-75.1628
TRILOCK GRIDPL,C1713,BOTH,433.94,,,,Standard charge with no insurance.,Regional Medical Center,hospital4,19102,Philadelphia,PA,39.9507,-75.1628
BASIC METABOLIC PANEL,80048,BOTH,1465.55,United Healthcare,United Healthcare CHIP,979.27,"This service costs $1465.55 as standard price when patient does not have any insurance.
Same service costs $979.27 if patient has 'United Healthcare CHIP' insurance plan.",Regional Medical Center,hospital4,19102,Philadelphia,PA,39.9507,-75.1628
BASIC METABOLIC PANEL,80048,BOTH,1465.55,United Healthcare,United Healthcare Commercial,1300.58,"This service costs $1465.55 as standard price when patient does not have any insurance.
Same service costs $1300.58 if patient has 'United Healthcare Commercial' insurance plan.",Regional Medical Center,hospital4,19102,Philadelphia,PA,39.9507,-75.1628
BASIC METABOLIC PANEL,80048,BOTH,1465.55,United Healthcare,United Healthcare Medicaid,1179.12,"This service costs $1465.55 as standard price when patient does not have any insurance.
Same service costs $1179.12 if patient has 'United Healthcare Medicaid' insurance plan.",Regional Medical Center,hospital4,19102,Philadelphia,PA,39.9507,-75.1628
