Service Description,Service Code,Setting,Standard Charge,Insurance,Plan Name,Negotiated Amount,Comments,Hospital Name,Hospital ID,Postal Code,City,State,Latitude,Longitude
TRILOCK GRIDPL,C1713,BOTH,533.11,,,,"Only standard charge and no price with insurance – meaning this service is provided by the hospital directly, and not through any insurance.",Regional Medical Center,hospital4,19102,Philadelphia,PA,39.9507,-75.1628
BASIC METABOLIC PANEL,80048,BOTH,485.03,,,,"Only standard charge and no price with insurance – meaning this service is provided by the hospital directly, and not through any insurance.",Regional Medical Center,hospital4,19102,Philadelphia,PA,39.9507,-75.1628
TRILOCK SCAPHOID PLATE,C1713,BOTH,1479.17,,,,"Only standard charge and no price with insurance – meaning this service is provided by the hospital directly, and not through any insurance.",Regional Medical Center,hospital4,19102,Philadelphia,PA,39.9507,-75.1628
2D ECHO,93306,OUTPATIENT,409.63,United Healthcare,United Healthcare Commercial,359.63,"This service costs $409.63 as standard price when patient does not have any insurance.
Same service costs $359.63 if patient has 'United Healthcare Commercial' insurance plan.",Regional Medical Center,hospital4,19102,Philadelphia,PA,39.9507,-75.1628
2D ECHO,93306,OUTPATIENT,409.63,,,,Standard charge with no insurance.,Regional Medical Center,hospital4,19102,Philadelphia,PA,39.9507,-75.1628
2D ECHO,93306,OUTPATIENT,409.63,Humana,Humana Commercial,354.05,"This service costs $409.63 as standard price when patient does not have any insurance.
Same service costs $354.05 if patient has 'Humana Commercial' insurance plan.",Regional Medical Center,hospital4,19102,Philadelphia,PA,39.9507,-75.1628
2D ECHO,93306,OUTPATIENT,409.63,Humana,Humana Medicare PPO,233.48,"This service costs $409.63 as standard price when patient does not have any insurance.
Same service costs $233.48 if patient has 'Humana Medicare PPO' insurance plan.",Regional Medical Center,hospital4,19102,Philadelphia,PA,39.9507,-75.1628
2D ECHO,93306,OUTPATIENT,409.63,Humana,Humana Medicare HMO,271.9,"This service costs $409.63 as standard price when patient does not have any insurance.
Same service costs $271.9 if patient has 'Humana Medicare HMO' insurance plan.",Regional Medical Center,hospital4,19102,Philadelphia,PA,39.9507,-75.1628
2D ECHO,93306,OUTPATIENT,409.63,,,,Standard charge with no insurance.,Regional Medical Center,hospital4,19102,Philadelphia,PA,39.9507,-75.1628
ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,1367.53,Amerihealth,Amerihealth Commercial,1215.41,"This service costs $1367.53 as standard price when patient does not have any insurance.
Same service costs $1215.41 if patient has 'Amerihealth Commercial' insurance plan.",Regional Medical Center,hospital4,19102,Philadelphia,PA,39.9507,-75.1628
