Service Description,Service Code,Setting,Standard Charge,Insurance,Plan Name,Negotiated Amount,Comments,Hospital Name,Hospital ID,Postal Code,City,State,Latitude,Longitude
TRILOCK SCAPHOID PLATE,C1713,BOTH,1672.59,Amerihealth,Amerihealth Medicare,1481.85,"This service costs $1672.59 as standard price when patient does not have any insurance.
Same service costs $1481.85 if patient has 'Amerihealth Medicare' insurance plan.",Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
TRILOCK SCAPHOID PLATE,C1713,BOTH,1672.59,Amerihealth,Amerihealth Commercial,1538.98,"This service costs $1672.59 as standard price when patient does not have any insurance.
Same service costs $1538.98 if patient has 'Amerihealth Commercial' insurance plan.",Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
TRILOCK SCAPHOID PLATE,C1713,BOTH,1672.59,,,,Standard charge with no insurance.,Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
2D ECHO,93306,OUTPATIENT,863.73,Highmark,Highmark ACA Products PROF,602.57,"This service costs $863.73 as standard price when patient does not have any insurance.
Same service costs $602.57 if patient has 'Highmark ACA Products PROF' insurance plan.",Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
2D ECHO,93306,OUTPATIENT,863.73,Highmark,Highmark Medicare,447.58,"This service costs $863.73 as standard price when patient does not have any insurance.
Same service costs $447.58 if patient has 'Highmark Medicare' insurance plan.",Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
2D ECHO,93306,OUTPATIENT,863.73,,,,Standard charge with no insurance.,Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
2D ECHO,93306,OUTPATIENT,863.73,United Healthcare,United Healthcare Medicaid,511.77,"This service costs $863.73 as standard price when patient does not have any insurance.
Same service costs $511.77 if patient has 'United Healthcare Medicaid' insurance plan.",Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
2D ECHO,93306,OUTPATIENT,863.73,,,,Standard charge with no insurance.,Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
BASIC METABOLIC PANEL,80048,BOTH,773.03,Humana,Humana Medicare PPO,523.98,"This service costs $773.03 as standard price when patient does not have any insurance.
Same service costs $523.98 if patient has 'Humana Medicare PPO' insurance plan.",Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
BASIC METABOLIC PANEL,80048,BOTH,773.03,Humana,Humana Commercial,687.2,"This service costs $773.03 as standard price when patient does not have any insurance.
Same service costs $687.2 if patient has 'Humana Commercial' insurance plan.",Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
