Service Description,Service Code,Setting,Standard Charge,Insurance,Plan Name,Negotiated Amount,Comments,Hospital Name,Hospital ID,Postal Code,City,State,Latitude,Longitude
CHG MRI BRAIN,70551,OUTPATIENT,219.8,United Healthcare,United Healthcare Commercial,110.81,"This service costs $219.8 as standard price when patient does not have any insurance.
Same service costs $110.81 if patient has 'United Healthcare Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
CHG MRI BRAIN,70551,OUTPATIENT,219.8,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
CHG MRI BRAIN,70551,OUTPATIENT,219.8,Amerihealth,Amerihealth Medicaid HC,138.51,"This service costs $219.8 as standard price when patient does not have any insurance.
Same service costs $138.51 if patient has 'Amerihealth Medicaid HC' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
CHG MRI BRAIN,70551,OUTPATIENT,219.8,Amerihealth,Amerihealth Commercial,131.79,"This service costs $219.8 as standard price when patient does not have any insurance.
Same service costs $131.79 if patient has 'Amerihealth Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
CHG MRI BRAIN,70551,OUTPATIENT,219.8,Amerihealth,Amerihealth Medicare,120.0,"This service costs $219.8 as standard price when patient does not have any insurance.
Same service costs $120.0 if patient has 'Amerihealth Medicare' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
CHG MRI BRAIN,70551,OUTPATIENT,219.8,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,255.29,Humana,Humana Medicare PPO,155.12,"This service costs $255.29 as standard price when patient does not have any insurance.
Same service costs $155.12 if patient has 'Humana Medicare PPO' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,255.29,Humana,Humana Medicare PPO,155.12,"This service costs $255.29 as standard price when patient does not have any insurance.
Same service costs $155.12 if patient has 'Humana Medicare PPO' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,255.29,Humana,Humana Medicare HMO,210.06,"This service costs $255.29 as standard price when patient does not have any insurance.
Same service costs $210.06 if patient has 'Humana Medicare HMO' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,255.29,Humana,Humana Medicare HMO,210.06,"This service costs $255.29 as standard price when patient does not have any insurance.
Same service costs $210.06 if patient has 'Humana Medicare HMO' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,255.29,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,255.29,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,255.29,United Healthcare,United Healthcare Medicaid,132.48,"This service costs $255.29 as standard price when patient does not have any insurance.
Same service costs $132.48 if patient has 'United Healthcare Medicaid' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,255.29,United Healthcare,United Healthcare Medicaid,132.48,"This service costs $255.29 as standard price when patient does not have any insurance.
Same service costs $132.48 if patient has 'United Healthcare Medicaid' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,255.29,United Healthcare,United Healthcare Commercial,241.58,"This service costs $255.29 as standard price when patient does not have any insurance.
Same service costs $241.58 if patient has 'United Healthcare Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,255.29,United Healthcare,United Healthcare Commercial,241.58,"This service costs $255.29 as standard price when patient does not have any insurance.
Same service costs $241.58 if patient has 'United Healthcare Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,255.29,United Healthcare,United Healthcare CHIP,133.68,"This service costs $255.29 as standard price when patient does not have any insurance.
Same service costs $133.68 if patient has 'United Healthcare CHIP' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,255.29,United Healthcare,United Healthcare CHIP,133.68,"This service costs $255.29 as standard price when patient does not have any insurance.
Same service costs $133.68 if patient has 'United Healthcare CHIP' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,255.29,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,255.29,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,255.29,Amerihealth,Amerihealth Medicaid HC,229.24,"This service costs $255.29 as standard price when patient does not have any insurance.
Same service costs $229.24 if patient has 'Amerihealth Medicaid HC' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,255.29,Amerihealth,Amerihealth Medicaid HC,229.24,"This service costs $255.29 as standard price when patient does not have any insurance.
Same service costs $229.24 if patient has 'Amerihealth Medicaid HC' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,255.29,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,255.29,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
TRILOCK GRIDPL,C1713,BOTH,1430.17,,,,"Only standard charge and no price with insurance – meaning this service is provided by the hospital directly, and not through any insurance.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
CHEST X-RAY,71045,BOTH,172.21,Aetna,Aetna Medicaid CHIP,92.51,"This service costs $172.21 as standard price when patient does not have any insurance.
Same service costs $92.51 if patient has 'Aetna Medicaid CHIP' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
CHEST X-RAY,71045,BOTH,172.21,Aetna,Aetna Commercial,111.98,"This service costs $172.21 as standard price when patient does not have any insurance.
Same service costs $111.98 if patient has 'Aetna Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
