Service Description,Service Code,Setting,Standard Charge,Insurance,Plan Name,Negotiated Amount,Comments,Hospital Name,Hospital ID,Postal Code,City,State,Latitude,Longitude
BASIC METABOLIC PANEL,80048,BOTH,1316.9,,,,"Only standard charge and no price with insurance – meaning this service is provided by the hospital directly, and not through any insurance.",University Hospital,hospital5,19146,Philadelphia,PA,39.9432,-75.1855
ABDOMINAL CT SCAN,74150,BOTH,475.42,,,,"Only standard charge and no price with insurance – meaning this service is provided by the hospital directly, and not through any insurance.",University Hospital,hospital5,19146,Philadelphia,PA,39.9432,-75.1855
ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,584.6,Amerihealth,Amerihealth Medicare,517.17,"This service costs $584.6 as standard price when patient does not have any insurance.
Same service costs $517.17 if patient has 'Amerihealth Medicare' insurance plan.",University Hospital,hospital5,19146,Philadelphia,PA,39.9432,-75.1855
ACETYLCYSTEINE NON-COMP UNIT,J7608,INPATIENT,584.6,Amerihealth,Amerihealth Medicare,517.17,"This service costs $584.6 as standard price when patient does not have any insurance.
Same service costs $517.17 if patient has 'Amerihealth Medicare' insurance plan.",University Hospital,hospital5,19146,Philadelphia,PA,39.9432,-75.1855
ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,584.6,Amerihealth,Amerihealth Medicaid HC,456.33,"This service costs $584.6 as standard price when patient does not have any insurance.
Same service costs $456.33 if patient has 'Amerihealth Medicaid HC' insurance plan.",University Hospital,hospital5,19146,Philadelphia,PA,39.9432,-75.1855
ACETYLCYSTEINE NON-COMP UNIT,J7608,INPATIENT,584.6,Amerihealth,Amerihealth Medicaid HC,456.33,"This service costs $584.6 as standard price when patient does not have any insurance.
Same service costs $456.33 if patient has 'Amerihealth Medicaid HC' insurance plan.",University Hospital,hospital5,19146,Philadelphia,PA,39.9432,-75.1855
ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,584.6,Amerihealth,Amerihealth Commercial,331.39,"This service costs $584.6 as standard price when patient does not have any insurance.
Same service costs $331.39 if patient has 'Amerihealth Commercial' insurance plan.",University Hospital,hospital5,19146,Philadelphia,PA,39.9432,-75.1855
ACETYLCYSTEINE NON-COMP UNIT,J7608,INPATIENT,584.6,Amerihealth,Amerihealth Commercial,331.39,"This service costs $584.6 as standard price when patient does not have any insurance.
Same service costs $331.39 if patient has 'Amerihealth Commercial' insurance plan.",University Hospital,hospital5,19146,Philadelphia,PA,39.9432,-75.1855
ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,584.6,,,,Standard charge with no insurance.,University Hospital,hospital5,19146,Philadelphia,PA,39.9432,-75.1855
ACETYLCYSTEINE NON-COMP UNIT,J7608,INPATIENT,584.6,,,,Standard charge with no insurance.,University Hospital,hospital5,19146,Philadelphia,PA,39.9432,-75.1855
