Service Description,Service Code,Setting,Standard Charge,Insurance,Plan Name,Negotiated Amount,Comments,Hospital Name,Hospital ID,Postal Code,City,State,Latitude,Longitude
2D ECHO,93306,OUTPATIENT,1880.49,United Healthcare,United Healthcare Commercial,1320.03,"This service costs $1880.49 as standard price when patient does not have any insurance.
Same service costs $1320.03 if patient has 'United Healthcare Commercial' insurance plan.",Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
2D ECHO,93306,OUTPATIENT,1880.49,United Healthcare,United Healthcare CHIP,1158.59,"This service costs $1880.49 as standard price when patient does not have any insurance.
Same service costs $1158.59 if patient has 'United Healthcare CHIP' insurance plan.",Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
2D ECHO,93306,OUTPATIENT,1880.49,United Healthcare,United Healthcare Medicaid,1191.97,"This service costs $1880.49 as standard price when patient does not have any insurance.
Same service costs $1191.97 if patient has 'United Healthcare Medicaid' insurance plan.",Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
2D ECHO,93306,OUTPATIENT,1880.49,,,,Standard charge with no insurance.,Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
COMPLETE BLOOD COUNT,85025,BOTH,1170.59,Aetna,Aetna Commercial,976.11,"This service costs $1170.59 as standard price when patient does not have any insurance.
Same service costs $976.11 if patient has 'Aetna Commercial' insurance plan.",Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
COMPLETE BLOOD COUNT,85025,BOTH,1170.59,Aetna,Aetna Medicaid CHIP,934.47,"This service costs $1170.59 as standard price when patient does not have any insurance.
Same service costs $934.47 if patient has 'Aetna Medicaid CHIP' insurance plan.",Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
COMPLETE BLOOD COUNT,85025,BOTH,1170.59,Aetna,Aetna Medicare,925.39,"This service costs $1170.59 as standard price when patient does not have any insurance.
Same service costs $925.39 if patient has 'Aetna Medicare' insurance plan.",Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
COMPLETE BLOOD COUNT,85025,BOTH,1170.59,,,,Standard charge with no insurance.,Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
BASIC METABOLIC PANEL,80048,BOTH,1417.99,Aetna,Aetna Medicaid CHIP,1050.39,"This service costs $1417.99 as standard price when patient does not have any insurance.
Same service costs $1050.39 if patient has 'Aetna Medicaid CHIP' insurance plan.",Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
BASIC METABOLIC PANEL,80048,BOTH,1417.99,Aetna,Aetna Commercial,1187.39,"This service costs $1417.99 as standard price when patient does not have any insurance.
Same service costs $1187.39 if patient has 'Aetna Commercial' insurance plan.",Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
BASIC METABOLIC PANEL,80048,BOTH,1417.99,,,,Standard charge with no insurance.,Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
BASIC METABOLIC PANEL,80048,BOTH,1417.99,Amerihealth,Amerihealth Commercial,1083.55,"This service costs $1417.99 as standard price when patient does not have any insurance.
Same service costs $1083.55 if patient has 'Amerihealth Commercial' insurance plan.",Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
BASIC METABOLIC PANEL,80048,BOTH,1417.99,Amerihealth,Amerihealth Medicaid HC,1042.82,"This service costs $1417.99 as standard price when patient does not have any insurance.
Same service costs $1042.82 if patient has 'Amerihealth Medicaid HC' insurance plan.",Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
BASIC METABOLIC PANEL,80048,BOTH,1417.99,,,,Standard charge with no insurance.,Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,1262.71,United Healthcare,United Healthcare Commercial,892.85,"This service costs $1262.71 as standard price when patient does not have any insurance.
Same service costs $892.85 if patient has 'United Healthcare Commercial' insurance plan.",Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,1262.71,United Healthcare,United Healthcare Commercial,892.85,"This service costs $1262.71 as standard price when patient does not have any insurance.
Same service costs $892.85 if patient has 'United Healthcare Commercial' insurance plan.",Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,1262.71,United Healthcare,United Healthcare Medicaid,983.74,"This service costs $1262.71 as standard price when patient does not have any insurance.
Same service costs $983.74 if patient has 'United Healthcare Medicaid' insurance plan.",Medical Center,hospital2,19106,Philadelphia,PA,39.9496,-75.1467
