Service Description,Service Code,Setting,Standard Charge,Insurance,Plan Name,Negotiated Amount,Comments,Hospital Name,Hospital ID,Postal Code,City,State,Latitude,Longitude
ABDOMINAL CT SCAN,74150,BOTH,214.37,Highmark,Highmark ACA Products PROF,121.45,"This service costs $214.37 as standard price when patient does not have any insurance.
Same service costs $121.45 if patient has 'Highmark ACA Products PROF' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
ABDOMINAL CT SCAN,74150,BOTH,214.37,,,,Standard charge with no insurance.,General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
ABDOMINAL CT SCAN,74150,BOTH,214.37,Amerihealth,Amerihealth Medicaid HC,119.75,"This service costs $214.37 as standard price when patient does not have any insurance.
Same service costs $119.75 if patient has 'Amerihealth Medicaid HC' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
ABDOMINAL CT SCAN,74150,BOTH,214.37,,,,Standard charge with no insurance.,General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
CHG MRI BRAIN,70551,OUTPATIENT,1432.87,Highmark,Highmark ACA Products PROF,1164.65,"This service costs $1432.87 as standard price when patient does not have any insurance.
Same service costs $1164.65 if patient has 'Highmark ACA Products PROF' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
CHG MRI BRAIN,70551,OUTPATIENT,1432.87,,,,Standard charge with no insurance.,General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
COMPLETE BLOOD COUNT,85025,BOTH,1351.51,Humana,Humana Medicare HMO,1038.01,"This service costs $1351.51 as standard price when patient does not have any insurance.
Same service costs $1038.01 if patient has 'Humana Medicare HMO' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
COMPLETE BLOOD COUNT,85025,BOTH,1351.51,,,,Standard charge with no insurance.,General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
CHEST X-RAY,71045,BOTH,1297.53,Highmark,Highmark ACA Products PROF,820.28,"This service costs $1297.53 as standard price when patient does not have any insurance.
Same service costs $820.28 if patient has 'Highmark ACA Products PROF' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
CHEST X-RAY,71045,BOTH,1297.53,Highmark,Highmark Medicare,1131.6,"This service costs $1297.53 as standard price when patient does not have any insurance.
Same service costs $1131.6 if patient has 'Highmark Medicare' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
